arquivo_nome|caminho|tempo_inicio|tempo_fim|duracao|texto|legenda|vad|mos_score|mos_stoi|mos_si_sdr|mos_qualidade|overlap01|stt_whisper|stt_wav2vec|sim_leg_whisper|sim_leg_wav2vec|sim_whisper_wav2vec|nota_similaridade|status_similaridade|metrica_similaridade|utilizou_denoiser|sox_sample_rate|sox_bit_depth|sox_channels|sox_output_format|sox_normalize_method|sox_target_level_db|sox_remove_silence|utilizou_sox
XGyycEcShhE_015.flac|./audio_dataset/XGyycEcShhE/XGyycEcShhE_015.flac|00:03:40.548|00:03:51.804|11.26|||True|3.38681960105896|0.9947068095207214|21.54346466064453|alta|False|E vamos conversar. Então, primeiro essa fixação, se você me deu um cocô aqui, e eu sei, porque eu já estou em pelo menos três grupos, ou estava, que você estava lá, e você foi expulso desses grupos de WhatsApp.|VAMOS CONVERSAR ENTEU PRIMEIRO ESSA FIXAÇÃO SOCE ME DE UM COUCOU AQUI E EU SEI PORQUE JÁ EU TOM PELO MENOS TRÊS GRUPOS OUTAVA QUE VOCÊ ESTAVA LÁ E VOCÊ FOI EXPULSO DESSES GRUPOS DE WADZAPE|||0.8756218905472637|0.8756218905472637|aprovado|wer|False|24000|16|1|flac|rms|-3.0|True|True
XGyycEcShhE_016.flac|./audio_dataset/XGyycEcShhE/XGyycEcShhE_016.flac|00:03:52.036|00:04:01.020|8.98|||True|2.549471855163574|0.9898155927658081|17.749584197998047|media|False|Você é expulso, alguém te coloca de volta, que você fica pedindo para voltar e você expulsa de novo. Sabe por quê? Porque você fica compartilhando vídeos de cocô e mulheres.|VOCÊ EXPULSO ALGUÉM TE COLOCA DE VOLTA QUE SE FICA PEDIDO PAR VOTAR E SEIS PUS INO PSÁ PORQUÊ PORQUE VOCÊ FICA COMPARTILHANDO VÍDEOS DE COCO E MULHERES|||0.8511904761904762|0.8511904761904762|aprovado|wer|True|24000|16|1|flac|rms|-3.0|True|True
XGyycEcShhE_019.flac|./audio_dataset/XGyycEcShhE/XGyycEcShhE_019.flac|00:04:28.420|00:04:34.588|6.17|||True|2.964998722076416|0.9922007918357849|18.7706356048584|media|False|É igual o cancelamento. Só que o cancelamento é mais legal porque o cancelamento...|ÉIGUAL UM CANCELAMENTO SÓ QUE O CANCELAMENTO É MAI ALEGAL PORQUE O O CANCELAMENTO|||0.9135802469135803|0.9135802469135803|aprovado|wer|True|24000|16|1|flac|rms|-3.0|True|True
XGyycEcShhE_027.flac|./audio_dataset/XGyycEcShhE/XGyycEcShhE_027.flac|00:06:54.692|00:07:00.060|5.37|||True|3.229161024093628|0.9963196516036987|25.854795455932617|alta|False|Bom, isso é uma prática que os restaurantes japoneses fazem.|BOM A ISSO É UMA PRÁTICA QUE O QUE OS RESTAURANTES JAPONESES FAZEM|||0.8787878787878788|0.8787878787878788|aprovado|wer|False|24000|16|1|flac|rms|-3.0|True|True
XGyycEcShhE_057.flac|./audio_dataset/XGyycEcShhE/XGyycEcShhE_057.flac|00:13:19.332|00:13:26.300|6.97|||True|3.222573757171631|0.9910385608673096|23.034488677978516|alta|False|E eu que não fiz faculdade em nenhuma, tenho um monte de canal muito maior do que quem fez...|E EU QUE NÃO FIZ FACULDADE EM NENHUMA TENO U MONTERICANAL MUITO MAIOR DO QUE QUEM FEZ|||0.9325842696629214|0.9325842696629214|aprovado|wer|False|24000|16|1|flac|rms|-3.0|True|True
XGyycEcShhE_069.flac|./audio_dataset/XGyycEcShhE/XGyycEcShhE_069.flac|00:15:47.748|00:15:52.508|4.76|||True|3.120378017425537|0.9895356297492981|23.330074310302734|alta|False|Eu falei, mas é muito caro. Vou fazer um texto. Fiz um texto e...|OFLEMANDA É MUITO CARO VOU FAZER UM TEXTO FIZ UM TEXTO E|||0.847457627118644|0.847457627118644|aprovado|wer|False|24000|16|1|flac|rms|-3.0|True|True
XGyycEcShhE_074.flac|./audio_dataset/XGyycEcShhE/XGyycEcShhE_074.flac|00:17:02.532|00:17:08.636|6.1|||True|3.3721141815185547|0.987405002117157|22.895259857177734|alta|False|Eu estudei no Porto Seguro aqui nos anos 80 e 90. Ninguém tomou mais zoada do que eu.|ESTUDEI NOM PORTE SEGURA QUE NO NOS ANOS OITENTA E NOVENTA NINGUÉM TOMOU MAIS JOADA DO QUE EU|||0.8709677419354839|0.8709677419354839|aprovado|wer|False|24000|16|1|flac|rms|-3.0|True|True
XGyycEcShhE_081.flac|./audio_dataset/XGyycEcShhE/XGyycEcShhE_081.flac|00:18:20.100|00:18:26.812|6.71|||True|3.019277811050415|0.9937047362327576|21.380374908447266|alta|False|Eu quero ver dar dinheiro para alguém que está pobre aí. Eu quero ver botar dentro de casa alguém que está sem abrigo.|EU QUERO VER DAR DINHEIRO PAPA ALGUÉM QUE TÁ POBRE E EU QUERO VER BOTARD EN DE CASA ALGUÉM QUE TÁ SEM ABRIGO|||0.896551724137931|0.896551724137931|aprovado|wer|False|24000|16|1|flac|rms|-3.0|True|True
XGyycEcShhE_086.flac|./audio_dataset/XGyycEcShhE/XGyycEcShhE_086.flac|00:19:24.420|00:19:28.252|3.83|||True|3.677016496658325|0.9954462051391602|22.729990005493164|alta|False|E que tem a água da cachoeira, mas lá não vende. É pra exportação mesmo.|IQUE TEM A ÁGUA DA CACHOEIRA MALÁ NÃO VÊENDE É PARA EXPORTAÇÃO MEMBONA NUCA|||0.8|0.8|aprovado|wer|False|24000|16|1|flac|rms|-3.0|True|True
XGyycEcShhE_183.flac|./audio_dataset/XGyycEcShhE/XGyycEcShhE_183.flac|00:44:32.036|00:44:42.940|10.9|||True|2.9529290199279785|0.9943428039550781|21.10000991821289|media|False|Aí você entrava no perfil do cara, era bloqueado, falava assim, a agência África, não sei o quê. Então falava assim, ah, então a mina é do Clube Pinheiros.|AS SÊ ENTRAVA NO PERFIL DO CARA RABLOQUEADO EFALAVA-SE A AGÊNCIA ÁFRICA NO SEUQUEITA MAS NÃO FALAVA ASSIM AH ENTÃO AMIM NAE DO CLUBE PINHEIROS|||0.8163265306122449|0.8163265306122449|aprovado|wer|True|24000|16|1|flac|rms|-3.0|True|True
